"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","944","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10811","Удаление товара из корзины","Surefire suite","2026-07-25","passed","2026-07-25","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","520","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","460","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","454","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","764","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-25","passed","2026-07-25","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1017","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","495","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка добавления и удаления товаров из корзины","11198","Добавление и удаление товаров из корзины","Surefire suite","2026-07-25","passed","2026-07-25","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"","722","checkLocator","Surefire suite","2026-07-25","passed","2026-07-25","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","448","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","968","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка заполнения информации для оформления заказа","2284","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
