"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","777","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-06-26","passed","2026-06-26","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Позитивная проверка добавления и удаления товаров из корзины","11875","Добавление и удаление товаров из корзины","Surefire suite","2026-06-26","passed","2026-06-26","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"","711","checkLocator","Surefire suite","2026-06-26","passed","2026-06-26","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","535","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-26","passed","2026-06-26","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","482","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-26","passed","2026-06-26","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","961","Успешное заполнение информации для оформления заказа","Surefire suite","2026-06-26","passed","2026-06-26","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","555","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-06-26","passed","2026-06-26","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","499","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-26","passed","2026-06-26","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","941","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-26","passed","2026-06-26","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","486","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-26","passed","2026-06-26","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","924","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-26","passed","2026-06-26","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","931","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-26","passed","2026-06-26","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10822","Удаление товара из корзины","Surefire suite","2026-06-26","passed","2026-06-26","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
