"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивная проверка добавления и удаления товаров из корзины","13004","Добавление и удаление товаров из корзины","Surefire suite","2026-07-06","passed","2026-07-06","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","576","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-06","passed","2026-07-06","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","603","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-06","passed","2026-07-06","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1057","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-06","passed","2026-07-06","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1103","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-06","passed","2026-07-06","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","590","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-06","passed","2026-07-06","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10930","Удаление товара из корзины","Surefire suite","2026-07-06","passed","2026-07-06","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","833","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-06","passed","2026-07-06","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","619","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-06","passed","2026-07-06","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Позитивная проверка заполнения информации для оформления заказа","1103","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-06","passed","2026-07-06","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1074","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-06","passed","2026-07-06","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","559","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-06","passed","2026-07-06","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","834","checkLocator","Surefire suite","2026-07-06","passed","2026-07-06","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
