"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","393","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-13","passed","2026-09-13","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","455","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-09-13","passed","2026-09-13","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка удаления товара из корзины","10690","Удаление товара из корзины","Surefire suite","2026-09-13","passed","2026-09-13","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Позитивная проверка заполнения информации для оформления заказа","746","Успешное заполнение информации для оформления заказа","Surefire suite","2026-09-13","broken","2026-09-13","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","745","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-13","failed","2026-09-13","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","392","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-13","passed","2026-09-13","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","761","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-13","failed","2026-09-13","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","403","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-13","passed","2026-09-13","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","414","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-13","passed","2026-09-13","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","666","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-13","passed","2026-09-13","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","2379","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-09-13","passed","2026-09-13","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"","573","checkLocator","Surefire suite","2026-09-13","passed","2026-09-13","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Позитивная проверка добавления и удаления товаров из корзины","10974","Добавление и удаление товаров из корзины","Surefire suite","2026-09-13","passed","2026-09-13","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
