"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","433","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","2227","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-08","passed","2026-08-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","433","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","677","checkLocator","Surefire suite","2026-08-08","passed","2026-08-08","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","429","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","458","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","918","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-08","passed","2026-08-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","915","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-08","passed","2026-08-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","951","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-08","passed","2026-08-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10761","Удаление товара из корзины","Surefire suite","2026-08-08","passed","2026-08-08","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Позитивная проверка добавления и удаления товаров из корзины","11214","Добавление и удаление товаров из корзины","Surefire suite","2026-08-08","passed","2026-08-08","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","968","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-08","passed","2026-08-08","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","757","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-08","passed","2026-08-08","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
