"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","596","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-01","passed","2026-07-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1078","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-01","passed","2026-07-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10923","Удаление товара из корзины","Surefire suite","2026-07-01","passed","2026-07-01","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","591","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-01","passed","2026-07-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","602","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-01","passed","2026-07-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","584","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-01","passed","2026-07-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","1888","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-01","passed","2026-07-01","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1104","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-01","passed","2026-07-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка заполнения информации для оформления заказа","1119","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-01","passed","2026-07-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1097","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-01","passed","2026-07-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","12711","Добавление и удаление товаров из корзины","Surefire suite","2026-07-01","passed","2026-07-01","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","903","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-01","passed","2026-07-01","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"","835","checkLocator","Surefire suite","2026-07-01","passed","2026-07-01","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
