"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","424","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-11","passed","2026-08-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","447","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-11","passed","2026-08-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","428","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-11","passed","2026-08-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","516","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-11","passed","2026-08-11","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Позитивная проверка заполнения информации для оформления заказа","1970","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-11","passed","2026-08-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11142","Добавление и удаление товаров из корзины","Surefire suite","2026-08-11","passed","2026-08-11","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","462","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-11","passed","2026-08-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10713","Удаление товара из корзины","Surefire suite","2026-08-11","passed","2026-08-11","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","723","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-11","passed","2026-08-11","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","932","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-11","passed","2026-08-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","934","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-11","passed","2026-08-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","678","checkLocator","Surefire suite","2026-08-11","passed","2026-08-11","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","962","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-11","passed","2026-08-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
