"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","517","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-18","passed","2026-08-18","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","484","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-18","passed","2026-08-18","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","924","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-18","passed","2026-08-18","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","757","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-18","passed","2026-08-18","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","631","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-18","passed","2026-08-18","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","864","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-18","passed","2026-08-18","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11149","Добавление и удаление товаров из корзины","Surefire suite","2026-08-18","passed","2026-08-18","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"","680","checkLocator","Surefire suite","2026-08-18","passed","2026-08-18","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка удаления товара из корзины","10718","Удаление товара из корзины","Surefire suite","2026-08-18","passed","2026-08-18","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","921","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-18","passed","2026-08-18","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1350","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-18","passed","2026-08-18","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","468","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-18","passed","2026-08-18","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","1022","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-18","passed","2026-08-18","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
