"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","451","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-07","passed","2026-07-07","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","526","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-07","passed","2026-07-07","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"","692","checkLocator","Surefire suite","2026-07-07","passed","2026-07-07","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","932","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-07","passed","2026-07-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","441","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-07","passed","2026-07-07","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","439","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-07","passed","2026-07-07","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","427","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-07","passed","2026-07-07","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","716","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-07","passed","2026-07-07","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Позитивная проверка заполнения информации для оформления заказа","970","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-07","passed","2026-07-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","939","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-07","passed","2026-07-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","923","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-07","passed","2026-07-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10779","Удаление товара из корзины","Surefire suite","2026-07-07","passed","2026-07-07","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Позитивная проверка добавления и удаления товаров из корзины","12435","Добавление и удаление товаров из корзины","Surefire suite","2026-07-07","passed","2026-07-07","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
