"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","494","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-06-24","passed","2026-06-24","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","734","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-06-24","passed","2026-06-24","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"","664","checkLocator","Surefire suite","2026-06-24","passed","2026-06-24","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка удаления товара из корзины","10764","Удаление товара из корзины","Surefire suite","2026-06-24","passed","2026-06-24","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","464","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-24","passed","2026-06-24","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","462","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-24","passed","2026-06-24","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","945","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-24","passed","2026-06-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","915","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-24","passed","2026-06-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","443","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-24","passed","2026-06-24","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","464","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-24","passed","2026-06-24","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","898","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-24","passed","2026-06-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","12394","Добавление и удаление товаров из корзины","Surefire suite","2026-06-24","passed","2026-06-24","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Позитивная проверка заполнения информации для оформления заказа","943","Успешное заполнение информации для оформления заказа","Surefire suite","2026-06-24","passed","2026-06-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
