"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","817","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-16","passed","2026-09-16","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","509","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-09-16","passed","2026-09-16","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","672","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-16","broken","2026-09-16","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","431","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-16","passed","2026-09-16","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","396","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-16","passed","2026-09-16","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","1617","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-09-16","passed","2026-09-16","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","808","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-16","passed","2026-09-16","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","492","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-16","passed","2026-09-16","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","618","checkLocator","Surefire suite","2026-09-16","passed","2026-09-16","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","406","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-16","passed","2026-09-16","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","681","Успешное заполнение информации для оформления заказа","Surefire suite","2026-09-16","broken","2026-09-16","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка удаления товара из корзины","10684","Удаление товара из корзины","Surefire suite","2026-09-16","passed","2026-09-16","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Позитивная проверка добавления и удаления товаров из корзины","10880","Добавление и удаление товаров из корзины","Surefire suite","2026-09-16","passed","2026-09-16","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
