"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивная проверка заполнения информации для оформления заказа","961","Успешное заполнение информации для оформления заказа","Surefire suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","920","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","481","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10750","Удаление товара из корзины","Surefire suite","2026-06-10","passed","2026-06-10","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","533","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка добавления и удаления товаров из корзины","11219","Добавление и удаление товаров из корзины","Surefire suite","2026-06-10","passed","2026-06-10","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","947","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","765","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-06-10","passed","2026-06-10","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"","708","checkLocator","Surefire suite","2026-06-10","passed","2026-06-10","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","937","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","727","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","2220","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","617","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
