"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","840","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-19","passed","2026-08-19","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","755","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-19","passed","2026-08-19","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка удаления товара из корзины","10739","Удаление товара из корзины","Surefire suite","2026-08-19","passed","2026-08-19","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","725","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-19","passed","2026-08-19","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","1041","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-19","passed","2026-08-19","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","883","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-19","passed","2026-08-19","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11153","Добавление и удаление товаров из корзины","Surefire suite","2026-08-19","passed","2026-08-19","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","463","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-19","passed","2026-08-19","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","856","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-19","passed","2026-08-19","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","500","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-19","passed","2026-08-19","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","675","checkLocator","Surefire suite","2026-08-19","passed","2026-08-19","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","444","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-19","passed","2026-08-19","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","933","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-19","passed","2026-08-19","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
