"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","872","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-16","passed","2026-08-16","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","486","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-16","passed","2026-08-16","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","695","checkLocator","Surefire suite","2026-08-16","passed","2026-08-16","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Позитивная проверка добавления и удаления товаров из корзины","11183","Добавление и удаление товаров из корзины","Surefire suite","2026-08-16","passed","2026-08-16","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","871","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-16","passed","2026-08-16","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10754","Удаление товара из корзины","Surefire suite","2026-08-16","passed","2026-08-16","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","568","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-16","passed","2026-08-16","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","898","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-16","passed","2026-08-16","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","580","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-16","passed","2026-08-16","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","515","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-16","passed","2026-08-16","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","721","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-16","passed","2026-08-16","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","1041","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-16","passed","2026-08-16","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","941","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-16","passed","2026-08-16","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
