"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","937","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-21","passed","2026-07-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","447","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","458","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","945","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-21","passed","2026-07-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","467","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","465","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","1761","checkLocator","Surefire suite","2026-07-21","passed","2026-07-21","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","516","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-21","passed","2026-07-21","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка удаления товара из корзины","10819","Удаление товара из корзины","Surefire suite","2026-07-21","passed","2026-07-21","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","961","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-21","passed","2026-07-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11198","Добавление и удаление товаров из корзины","Surefire suite","2026-07-21","passed","2026-07-21","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","1167","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-21","passed","2026-07-21","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Позитивная проверка заполнения информации для оформления заказа","969","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-21","passed","2026-07-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
