"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","399","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-05","passed","2026-09-05","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","425","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-05","passed","2026-09-05","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","572","checkLocator","Surefire suite","2026-09-05","passed","2026-09-05","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","435","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-09-05","passed","2026-09-05","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","382","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-05","passed","2026-09-05","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","390","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-05","passed","2026-09-05","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка добавления и удаления товаров из корзины","10923","Добавление и удаление товаров из корзины","Surefire suite","2026-09-05","passed","2026-09-05","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","686","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-05","passed","2026-09-05","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10630","Удаление товара из корзины","Surefire suite","2026-09-05","passed","2026-09-05","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","1588","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-09-05","passed","2026-09-05","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Позитивная проверка заполнения информации для оформления заказа","803","Успешное заполнение информации для оформления заказа","Surefire suite","2026-09-05","passed","2026-09-05","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","736","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-05","passed","2026-09-05","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","735","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-05","passed","2026-09-05","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
