"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","940","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-08","passed","2026-07-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","710","checkLocator","Surefire suite","2026-07-08","passed","2026-07-08","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","505","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","950","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-08","passed","2026-07-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10759","Удаление товара из корзины","Surefire suite","2026-07-08","passed","2026-07-08","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","434","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","719","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-08","passed","2026-07-08","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","454","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","989","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-08","passed","2026-07-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","430","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","961","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-08","passed","2026-07-08","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","12565","Добавление и удаление товаров из корзины","Surefire suite","2026-07-08","passed","2026-07-08","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","439","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-08","passed","2026-07-08","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
