"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","432","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-10","passed","2026-08-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","953","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-10","passed","2026-08-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","488","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-10","passed","2026-08-10","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","726","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-10","passed","2026-08-10","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Позитивная проверка добавления и удаления товаров из корзины","11190","Добавление и удаление товаров из корзины","Surefire suite","2026-08-10","passed","2026-08-10","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","936","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-10","passed","2026-08-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","469","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-10","passed","2026-08-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10736","Удаление товара из корзины","Surefire suite","2026-08-10","passed","2026-08-10","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","446","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-10","passed","2026-08-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","432","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-10","passed","2026-08-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","976","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-10","passed","2026-08-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","684","checkLocator","Surefire suite","2026-08-10","passed","2026-08-10","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Позитивная проверка заполнения информации для оформления заказа","2228","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-10","passed","2026-08-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
