"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","719","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-17","passed","2026-08-17","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10740","Удаление товара из корзины","Surefire suite","2026-08-17","passed","2026-08-17","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","480","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-17","passed","2026-08-17","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","515","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-17","passed","2026-08-17","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка добавления и удаления товаров из корзины","11101","Добавление и удаление товаров из корзины","Surefire suite","2026-08-17","passed","2026-08-17","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","818","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-17","passed","2026-08-17","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","661","checkLocator","Surefire suite","2026-08-17","passed","2026-08-17","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","857","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-17","passed","2026-08-17","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","477","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-17","passed","2026-08-17","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","503","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-17","passed","2026-08-17","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","843","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-17","passed","2026-08-17","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка заполнения информации для оформления заказа","819","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-17","passed","2026-08-17","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","713","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-17","passed","2026-08-17","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
