"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления товара из корзины","10687","Удаление товара из корзины","Surefire suite","2026-08-12","passed","2026-08-12","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","807","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-12","passed","2026-08-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","391","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-12","passed","2026-08-12","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка добавления и удаления товаров из корзины","11014","Добавление и удаление товаров из корзины","Surefire suite","2026-08-12","passed","2026-08-12","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","668","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-12","passed","2026-08-12","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","811","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-12","passed","2026-08-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","462","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-12","passed","2026-08-12","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","410","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-12","passed","2026-08-12","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","794","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-12","passed","2026-08-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","626","checkLocator","Surefire suite","2026-08-12","passed","2026-08-12","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","419","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-12","passed","2026-08-12","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","406","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-12","passed","2026-08-12","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","1048","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-12","passed","2026-08-12","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
