"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","978","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-10","passed","2026-07-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10821","Удаление товара из корзины","Surefire suite","2026-07-10","passed","2026-07-10","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","485","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","499","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","509","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","949","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-10","passed","2026-07-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","528","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","794","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-10","passed","2026-07-10","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","999","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-10","passed","2026-07-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","746","checkLocator","Surefire suite","2026-07-10","passed","2026-07-10","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Позитивная проверка добавления и удаления товаров из корзины","12904","Добавление и удаление товаров из корзины","Surefire suite","2026-07-10","passed","2026-07-10","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Позитивная проверка заполнения информации для оформления заказа","1033","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-10","passed","2026-07-10","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","561","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-10","passed","2026-07-10","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
