"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления товара из корзины","10806","Удаление товара из корзины","Surefire suite","2026-08-09","passed","2026-08-09","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","462","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-09","passed","2026-08-09","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1012","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-09","passed","2026-08-09","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка заполнения информации для оформления заказа","2342","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-09","passed","2026-08-09","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","963","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-09","passed","2026-08-09","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","955","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-09","passed","2026-08-09","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","434","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-09","passed","2026-08-09","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","441","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-09","passed","2026-08-09","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","761","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-09","passed","2026-08-09","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","520","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-09","passed","2026-08-09","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Позитивная проверка добавления и удаления товаров из корзины","11199","Добавление и удаление товаров из корзины","Surefire suite","2026-08-09","passed","2026-08-09","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","447","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-09","passed","2026-08-09","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","709","checkLocator","Surefire suite","2026-08-09","passed","2026-08-09","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
