"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","2397","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-09-01","passed","2026-09-01","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","596","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"","697","checkLocator","Surefire suite","2026-09-01","passed","2026-09-01","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","2436","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","509","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","775","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","519","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","2955","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10799","Удаление товара из корзины","Surefire suite","2026-09-01","passed","2026-09-01","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","882","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка заполнения информации для оформления заказа","5608","Успешное заполнение информации для оформления заказа","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11203","Добавление и удаление товаров из корзины","Surefire suite","2026-09-01","passed","2026-09-01","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","910","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
