"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","571","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-04","passed","2026-07-04","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Позитивная проверка добавления и удаления товаров из корзины","12903","Добавление и удаление товаров из корзины","Surefire suite","2026-07-04","passed","2026-07-04","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1012","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-04","passed","2026-07-04","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","811","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-04","passed","2026-07-04","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1017","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-04","passed","2026-07-04","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","547","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-04","passed","2026-07-04","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","1039","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-04","passed","2026-07-04","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","989","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-04","passed","2026-07-04","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","759","checkLocator","Surefire suite","2026-07-04","passed","2026-07-04","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","552","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-04","passed","2026-07-04","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","553","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-04","passed","2026-07-04","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10817","Удаление товара из корзины","Surefire suite","2026-07-04","passed","2026-07-04","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","503","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-04","passed","2026-07-04","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
