"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","672","checkLocator","Surefire suite","2026-08-22","passed","2026-08-22","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","537","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Позитивная проверка заполнения информации для оформления заказа","889","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-22","passed","2026-08-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","464","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка добавления и удаления товаров из корзины","11134","Добавление и удаление товаров из корзины","Surefire suite","2026-08-22","passed","2026-08-22","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","659","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","724","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-22","passed","2026-08-22","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","846","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-22","passed","2026-08-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","869","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-22","passed","2026-08-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10725","Удаление товара из корзины","Surefire suite","2026-08-22","passed","2026-08-22","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","471","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","428","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-22","passed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","854","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-22","passed","2026-08-22","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
