"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","779","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-24","passed","2026-08-24","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"","672","checkLocator","Surefire suite","2026-08-24","passed","2026-08-24","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","901","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-24","passed","2026-08-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","899","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-24","passed","2026-08-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","482","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","882","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-24","passed","2026-08-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка заполнения информации для оформления заказа","951","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-24","passed","2026-08-24","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11096","Добавление и удаление товаров из корзины","Surefire suite","2026-08-24","passed","2026-08-24","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","503","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","1014","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10778","Удаление товара из корзины","Surefire suite","2026-08-24","passed","2026-08-24","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","642","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","482","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-24","passed","2026-08-24","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
