"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","1109","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","838","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","609","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-21","passed","2026-08-21","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","372","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","535","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","441","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","694","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-21","passed","2026-08-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","753","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-21","passed","2026-08-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10555","Удаление товара из корзины","Surefire suite","2026-08-21","passed","2026-08-21","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"","518","checkLocator","Surefire suite","2026-08-21","passed","2026-08-21","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Позитивная проверка добавления и удаления товаров из корзины","10979","Добавление и удаление товаров из корзины","Surefire suite","2026-08-21","passed","2026-08-21","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","695","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-21","passed","2026-08-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка заполнения информации для оформления заказа","815","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-21","passed","2026-08-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
