"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","335","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-20","passed","2026-08-20","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","571","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-20","passed","2026-08-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","362","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-20","passed","2026-08-20","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","551","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-20","passed","2026-08-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","536","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-20","passed","2026-08-20","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка удаления товара из корзины","10534","Удаление товара из корзины","Surefire suite","2026-08-20","passed","2026-08-20","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","525","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-20","passed","2026-08-20","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Позитивная проверка заполнения информации для оформления заказа","709","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-20","passed","2026-08-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","412","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-20","passed","2026-08-20","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","1414","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-20","passed","2026-08-20","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","437","checkLocator","Surefire suite","2026-08-20","passed","2026-08-20","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Позитивная проверка добавления и удаления товаров из корзины","10943","Добавление и удаление товаров из корзины","Surefire suite","2026-08-20","passed","2026-08-20","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","675","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-20","passed","2026-08-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
