"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1031","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-11","passed","2026-06-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11658","Добавление и удаление товаров из корзины","Surefire suite","2026-06-11","passed","2026-06-11","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","695","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","670","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1111","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-11","passed","2026-06-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","829","checkLocator","Surefire suite","2026-06-11","passed","2026-06-11","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка удаления товара из корзины","10883","Удаление товара из корзины","Surefire suite","2026-06-11","passed","2026-06-11","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","829","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-06-11","passed","2026-06-11","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","585","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","998","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-06-11","passed","2026-06-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","631","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","560","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-06-11","passed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","2167","Успешное заполнение информации для оформления заказа","Surefire suite","2026-06-11","passed","2026-06-11","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
