"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1036","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-01","passed","2026-08-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","469","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-01","passed","2026-08-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","734","checkLocator","Surefire suite","2026-08-01","passed","2026-08-01","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","763","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-01","passed","2026-08-01","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","449","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-01","passed","2026-08-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","459","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-01","passed","2026-08-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","462","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-01","passed","2026-08-01","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10785","Удаление товара из корзины","Surefire suite","2026-08-01","passed","2026-08-01","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","971","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-01","passed","2026-08-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","984","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-01","passed","2026-08-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11252","Добавление и удаление товаров из корзины","Surefire suite","2026-08-01","passed","2026-08-01","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Позитивная проверка заполнения информации для оформления заказа","2480","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-01","passed","2026-08-01","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","512","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-01","passed","2026-08-01","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
