"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","357","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","345","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","589","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-27","passed","2026-08-27","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","411","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка удаления товара из корзины","10512","Удаление товара из корзины","Surefire suite","2026-08-27","passed","2026-08-27","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","615","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-27","passed","2026-08-27","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","390","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","436","checkLocator","Surefire suite","2026-08-27","passed","2026-08-27","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","856","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","574","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-27","passed","2026-08-27","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","10794","Добавление и удаление товаров из корзины","Surefire suite","2026-08-27","passed","2026-08-27","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Позитивная проверка заполнения информации для оформления заказа","598","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-27","passed","2026-08-27","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","554","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-27","passed","2026-08-27","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
