"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","417","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-28","passed","2026-07-28","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","892","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-28","passed","2026-07-28","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","686","checkLocator","Surefire suite","2026-07-28","passed","2026-07-28","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Позитивная проверка заполнения информации для оформления заказа","1925","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-28","passed","2026-07-28","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка удаления товара из корзины","10770","Удаление товара из корзины","Surefire suite","2026-07-28","passed","2026-07-28","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Позитивная проверка добавления и удаления товаров из корзины","11177","Добавление и удаление товаров из корзины","Surefire suite","2026-07-28","passed","2026-07-28","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","486","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-28","passed","2026-07-28","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","907","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-28","passed","2026-07-28","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","944","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-28","passed","2026-07-28","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","434","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-28","passed","2026-07-28","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","728","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-28","passed","2026-07-28","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","422","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-28","passed","2026-07-28","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","424","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-28","passed","2026-07-28","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
