"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивная проверка добавления и удаления товаров из корзины","11242","Добавление и удаление товаров из корзины","Surefire suite","2026-08-02","passed","2026-08-02","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"","719","checkLocator","Surefire suite","2026-08-02","passed","2026-08-02","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","940","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-02","passed","2026-08-02","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка удаления товара из корзины","10727","Удаление товара из корзины","Surefire suite","2026-08-02","passed","2026-08-02","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","480","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-02","passed","2026-08-02","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","2384","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-02","passed","2026-08-02","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","450","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-02","passed","2026-08-02","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","512","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-02","passed","2026-08-02","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","927","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-02","passed","2026-08-02","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","446","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-02","passed","2026-08-02","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1057","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-02","passed","2026-08-02","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","466","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-02","passed","2026-08-02","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","753","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-02","passed","2026-08-02","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
