"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","984","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-30","passed","2026-07-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","916","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-30","passed","2026-07-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","474","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-30","passed","2026-07-30","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","461","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-30","passed","2026-07-30","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","1465","Успешное заполнение информации для оформления заказа","Surefire suite","2026-07-30","passed","2026-07-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","528","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-07-30","passed","2026-07-30","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа в систему с позитивными кредами","450","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-30","passed","2026-07-30","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка добавления и удаления товаров из корзины","11259","Добавление и удаление товаров из корзины","Surefire suite","2026-07-30","passed","2026-07-30","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"","741","checkLocator","Surefire suite","2026-07-30","passed","2026-07-30","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","743","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-07-30","passed","2026-07-30","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка входа в систему с позитивными кредами","438","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-07-30","passed","2026-07-30","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10783","Удаление товара из корзины","Surefire suite","2026-07-30","passed","2026-07-30","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","988","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-07-30","passed","2026-07-30","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
