"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","468","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-20","passed","2026-09-20","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","1711","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-09-20","passed","2026-09-20","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"","705","checkLocator","Surefire suite","2026-09-20","passed","2026-09-20","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка удаления товара из корзины","11316","Удаление товара из корзины","Surefire suite","2026-09-20","passed","2026-09-20","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","886","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-20","passed","2026-09-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","861","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-20","passed","2026-09-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","469","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-20","passed","2026-09-20","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","524","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-09-20","passed","2026-09-20","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","877","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-20","passed","2026-09-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","463","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-20","passed","2026-09-20","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","449","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-20","passed","2026-09-20","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","957","Успешное заполнение информации для оформления заказа","Surefire suite","2026-09-20","passed","2026-09-20","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11094","Добавление и удаление товаров из корзины","Surefire suite","2026-09-20","passed","2026-09-20","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
