"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","493","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-25","passed","2026-09-25","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","488","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-25","passed","2026-09-25","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","500","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-25","passed","2026-09-25","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","930","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-25","passed","2026-09-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","494","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-25","passed","2026-09-25","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","537","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-09-25","passed","2026-09-25","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","833","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-25","broken","2026-09-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","769","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-09-25","passed","2026-09-25","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","909","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-25","passed","2026-09-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","1667","checkLocator","Surefire suite","2026-09-25","passed","2026-09-25","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Позитивная проверка заполнения информации для оформления заказа","1235","Успешное заполнение информации для оформления заказа","Surefire suite","2026-09-25","passed","2026-09-25","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка удаления товара из корзины","10728","Удаление товара из корзины","Surefire suite","2026-09-25","passed","2026-09-25","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Позитивная проверка добавления и удаления товаров из корзины","11109","Добавление и удаление товаров из корзины","Surefire suite","2026-09-25","passed","2026-09-25","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
