"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","840","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-07","passed","2026-08-07","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Позитивная проверка заполнения информации для оформления заказа","2097","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-07","passed","2026-08-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","433","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-07","passed","2026-08-07","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","512","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-07","passed","2026-08-07","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","935","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-07","passed","2026-08-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","981","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-07","passed","2026-08-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","459","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-07","passed","2026-08-07","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","440","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-07","passed","2026-08-07","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","1036","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-07","passed","2026-08-07","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11262","Добавление и удаление товаров из корзины","Surefire suite","2026-08-07","passed","2026-08-07","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка удаления товара из корзины","10797","Удаление товара из корзины","Surefire suite","2026-08-07","passed","2026-08-07","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","458","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-07","passed","2026-08-07","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","758","checkLocator","Surefire suite","2026-08-07","passed","2026-08-07","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
