"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","900","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"","726","checkLocator","Surefire suite","2026-08-04","passed","2026-08-04","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","461","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","927","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","920","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11161","Добавление и удаление товаров из корзины","Surefire suite","2026-08-04","passed","2026-08-04","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка входа в систему с позитивными кредами","456","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка входа в систему с позитивными кредами","450","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Позитивная проверка заполнения информации для оформления заказа","1214","Успешное заполнение информации для оформления заказа","Surefire suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","438","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","715","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-08-04","passed","2026-08-04","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Проверка удаления товара из корзины","10781","Удаление товара из корзины","Surefire suite","2026-08-04","passed","2026-08-04","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка входа в систему с позитивными кредами","514","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
