"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","11","0","","0"
"0","E2E","0","Login to SauceDemo","1","0","ЯКК хочу логиниться в SuaceDemo","0"
