"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с позитивными кредами","429","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-26","passed","2026-09-26","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"","1632","checkLocator","Surefire suite","2026-09-26","passed","2026-09-26","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Проверка входа в систему с позитивными кредами","439","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-26","passed","2026-09-26","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","752","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-26","broken","2026-09-26","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","432","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-26","passed","2026-09-26","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
"Проверка удаления товара из корзины","10705","Удаление товара из корзины","Surefire suite","2026-09-26","passed","2026-09-26","tests.CartTest","Surefire test","tests.CartTest","removeProductFromCart"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","873","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-26","passed","2026-09-26","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Проверка входа в систему с позитивными кредами","500","Позитивная проверка входа в систему с корректными кредами","Surefire suite","2026-09-26","passed","2026-09-26","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка получения ошибки при заполнении информации для оформления заказа с пустым именем/фамилией/индексом","872","Ошибки при заполнении информации для оформления заказа","Surefire suite","2026-09-26","passed","2026-09-26","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeCheckoutInformation"
"Позитивная проверка добавления и удаления товаров из корзины","11060","Добавление и удаление товаров из корзины","Surefire suite","2026-09-26","passed","2026-09-26","tests.ProductsListTest","Surefire test","tests.ProductsListTest","removeProductsFromProductsList"
"Проверка добавления одного товара в корзину и проверка его наименования и цены","672","Добавление одного товара в корзину и проверка его наименования и цены","Surefire suite","2026-09-26","broken","2026-09-26","tests.CartTest","Surefire test","tests.CartTest","addOneProductInCart"
"Позитивная проверка заполнения информации для оформления заказа","1157","Успешное заполнение информации для оформления заказа","Surefire suite","2026-09-26","passed","2026-09-26","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillPositiveCheckoutInformation"
"Проверка входа в систему с позитивными кредами","448","Проверка получения ошибок при входе в систему без логина/без пароля/под заблокированным пользователем/с негативными кредами","Surefire suite","2026-09-26","passed","2026-09-26","tests.LoginTest","Surefire test","tests.LoginTest","allTestNegativeLogin"
